Traffic Count, Self-driving Car Rate, Turning Rate, Time, Total Num, Traffic Flow, Actual Turning Num
3000, 0, 0, 3500, 4743, 4724, 0
3000, 0, 1, 3500, 4786, 4770, 482
3000, 0, 2, 3500, 4726, 4716, 969
3000, 0, 3, 3500, 4639, 4626, 1415
3000, 0, 4, 3500, 4661, 4646, 1976
3000, 0, 5, 3500, 4597, 4385, 2407
3000, 0, 6, 3500, 4706, 4220, 2793
3000, 0, 7, 3500, 4516, 4497, 3166
3000, 0, 8, 3500, 4720, 4299, 3771
3000, 0, 9, 3500, 4742, 4567, 4257
3000, 0, 10, 3500, 4747, 4735, 4779
3000, 1, 0, 3500, 4635, 4610, 0
3000, 1, 1, 3500, 4657, 4653, 504
3000, 1, 2, 3500, 4735, 4713, 978
3000, 1, 3, 3500, 4647, 4639, 1371
3000, 1, 4, 3500, 4705, 4684, 1909
3000, 1, 5, 3500, 4594, 4541, 2357
3000, 1, 6, 3500, 4600, 4255, 2925
3000, 1, 7, 3500, 4651, 4261, 3302
3000, 1, 8, 3500, 4698, 4309, 3702
3000, 1, 9, 3500, 4625, 4579, 4231
3000, 1, 10, 3500, 4635, 4605, 4678
3000, 2, 0, 3500, 4623, 4605, 0
3000, 2, 1, 3500, 4707, 4709, 499
3000, 2, 2, 3500, 4651, 4662, 960
3000, 2, 3, 3500, 4654, 4667, 1392
3000, 2, 4, 3500, 4734, 4719, 2004
3000, 2, 5, 3500, 4659, 4543, 2342
3000, 2, 6, 3500, 4641, 4488, 2872
3000, 2, 7, 3500, 4572, 4269, 3324
3000, 2, 8, 3500, 4644, 4196, 3651
3000, 2, 9, 3500, 4654, 4213, 4038
3000, 2, 10, 3500, 4613, 4611, 4648
3000, 3, 0, 3500, 4869, 4873, 0
3000, 3, 1, 3500, 4694, 4664, 442
3000, 3, 2, 3500, 4692, 4712, 945
3000, 3, 3, 3500, 4752, 4688, 1428
3000, 3, 4, 3500, 4650, 4657, 1853
3000, 3, 5, 3500, 4745, 4285, 2421
3000, 3, 6, 3500, 4557, 4291, 2778
3000, 3, 7, 3500, 4691, 4373, 3227
3000, 3, 8, 3500, 4725, 4086, 3524
3000, 3, 9, 3500, 4642, 4226, 4099
3000, 3, 10, 3500, 4708, 4651, 4723
3000, 4, 0, 3500, 4661, 4673, 0
3000, 4, 1, 3500, 4641, 4619, 467
3000, 4, 2, 3500, 4589, 4560, 956
3000, 4, 3, 3500, 4699, 4432, 1486
3000, 4, 4, 3500, 4754, 4404, 1945
3000, 4, 5, 3500, 4575, 4235, 2299
3000, 4, 6, 3500, 4646, 3997, 2574
3000, 4, 7, 3500, 4732, 4083, 3108
3000, 4, 8, 3500, 4799, 4003, 3407
3000, 4, 9, 3500, 4566, 4369, 4071
3000, 4, 10, 3500, 4542, 4516, 4585
3000, 5, 0, 3500, 4641, 4614, 0
3000, 5, 1, 3500, 4584, 4593, 444
3000, 5, 2, 3500, 4772, 4735, 1007
3000, 5, 3, 3500, 4681, 4317, 1507
3000, 5, 4, 3500, 4757, 4140, 1873
3000, 5, 5, 3500, 4630, 3964, 2223
3000, 5, 6, 3500, 4584, 3940, 2577
3000, 5, 7, 3500, 4673, 3814, 2924
3000, 5, 8, 3500, 4655, 4007, 3362
3000, 5, 9, 3500, 4590, 4138, 3816
3000, 5, 10, 3500, 4685, 4475, 4357
3000, 6, 0, 3500, 4648, 4622, 0
3000, 6, 1, 3500, 4675, 4695, 464
3000, 6, 2, 3500, 4789, 4553, 982
3000, 6, 3, 3500, 4771, 4260, 1381
3000, 6, 4, 3500, 4842, 4003, 1786
3000, 6, 5, 3500, 4560, 3874, 2094
3000, 6, 6, 3500, 4653, 3657, 2349
3000, 6, 7, 3500, 4732, 3689, 2770
3000, 6, 8, 3500, 4721, 3718, 3071
3000, 6, 9, 3500, 4650, 3810, 3522
3000, 6, 10, 3500, 4625, 4180, 3900
3000, 7, 0, 3500, 4706, 4704, 0
3000, 7, 1, 3500, 4660, 4697, 497
3000, 7, 2, 3500, 4549, 4325, 911
3000, 7, 3, 3500, 4698, 4203, 1306
3000, 7, 4, 3500, 4682, 3819, 1666
3000, 7, 5, 3500, 4548, 3652, 1940
3000, 7, 6, 3500, 4715, 3470, 2222
3000, 7, 7, 3500, 4696, 3451, 2552
3000, 7, 8, 3500, 4685, 3554, 2983
3000, 7, 9, 3500, 4766, 3582, 3368
3000, 7, 10, 3500, 4662, 3944, 3686
3000, 8, 0, 3500, 4590, 4590, 0
